0.40000,1942203989,CONEMAUGH HEALTH INITIATIVES,1086 FRANKLIN ST, ,JOHNSTOWN,PA,159054305,8144108300,Medical Oncology, , , , , , , , , , , , , , 
0.40000,1033112065,FLORIDA HEALTH CARE SERVICES INC,1 NESHAMINY INTERPLEX,STE 209,TREVOSE,PA,190536969,2153305478,Oxygen Equipment & Supplies,Prosthetic/Orthotic Supplier, , , , , , , , , , , , , 
0.40000,1942203146,TOM & JERRY'S HOME MEDICAL SERVICE,PO BOX 837, ,CONNELLSVILLE,PA,154250837,7246288913,Parenteral & Enteral Nutrition,Oxygen Equipment & Supplies,Prosthetic/Orthotic Supplier, , , , , , , , , , , , 
0.40000,1114920386,PETER BECKER COMMUNITY,800 MAPLE AVE, ,HARLEYSVILLE,PA,194381032,2152569501,Skilled Nursing Facility, , , , , , , , , , , , , , 
0.40000,1104829373,UPTOWN PHARMACY INCORPORATED,200 S OAK ST, ,MOUNT CARMEL,PA,178512148,5703394953,Pharmacist, , , , , , , , , , , , , , 
0.40000,1912900168,SOMERSET COMMUNITY HOSPITAL,225 S CENTER AVE, ,SOMERSET,PA,155012033,8144435040,Surgery,General Acute Care Hospital, , , , , , , , , , , , , 
0.40000,1821091059,WAYNESBORO HOSPITAL,501 E MAIN ST, ,WAYNESBORO,PA,172682353,7177654000,General Acute Care Hospital, , , , , , , , , , , , , , 
0.40000,1780687913,COMMUNITY NURSING SERVICES OF NORTH EAST,7 PARK ST., ,NORTH EAST,PA,16428,8147254300,Home Health,Hospice Care - Community Based, , , , , , , , , , , , , 
0.40000,1578566725,ST. ANNE HOME,685 ANGELA DR, ,GREENSBURG,PA,156012655,7248376070,Skilled Nursing Facility, , , , , , , , , , , , , , 
0.40000,1437152659,PROSTHETICARE,1590 RODNEY RD, ,YORK,PA,174049715,7177648737,Prosthetic/Orthotic Supplier, , , , , , , , , , , , , , 
0.40000,1255334470,ASSIST HOME CARE INC.,27 W INDEPENDENCE ST, ,SHAMOKIN,PA,178725313,5706449840,Oxygen Equipment & Supplies, , , , , , , , , , , , , , 
0.40000,1275536476,VILLA ST JOSEPH OF BADEN INC,1030 STATE STREET, ,BADEN,PA,150051338,7248696300,Skilled Nursing Facility, , , , , , , , , , , , , , 
