1720081763, 2, , <UNAVAIL>, TOWNE & COUNTRY PHARMACY FLORIST & GIFTS INC, , , , , , , , , , , , , , , , PO BOX 364, 675 EAST HWY 60, HARDINSBURG, KY, 401430364, US, 2707562151, 2707565199, 675 EAST HWY 60, , HARDINSBURG, KY, 401430675, US, 2707562151, 2707565199, 05/23/2005, 05/03/2017, , , , , WILLOUGHBY, LAURA, GAYLE, PHARMACIST, 2707562151, 183500000X, P06296, KY, N, 332BX2000X, MG0340, KY, Y, 333600000X, P06296, KY, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 90050147, 05, KY, , 000000189330, 01, KY, ANTHEM, 1071411, 01, KY, PASSPORT, 54032560, 05, KY, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , RPH, 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , , 
1659374692, 2, , <UNAVAIL>, HEARTLAND ANESTHESIA CONSULTANTS, , , , , , , , , , , , , , , , 639 N MULBERRY ST, , ELIZABETHTOWN, KY, 427011931, US, 2707374600, 2707371722, 639 N MULBERRY ST, , ELIZABETHTOWN, KY, 427011931, US, 2707374600, 2707371722, 05/23/2005, 07/08/2007, , , , , SPALDING, SANDY, , OFFICE MANAGER, 2707374600, 174400000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MRS., , OFFICE MANAGER, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1942203955, 2, , <UNAVAIL>, LIFESCAN OF LOUISVILLE LLC, , , , , , , LIFESCAN LOUISVILLE, 3, , , , , , , , 4046 DUTCHMANS LN, , LOUISVILLE, KY, 402074712, US, 5028937145, 5028937147, 4046 DUTCHMANS LN, , LOUISVILLE, KY, 402074712, US, 5028937145, 5028937147, 05/23/2005, 01/11/2012, , , , , DOUGLAS, MICHELLE, , CONTRACT MANAGER, 5024031401, 261QR0200X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 65933764, 05, KY, , 7100041020, 05, KY, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , , , , , , , , , , , , , , , , , 
1093718116, 2, , <UNAVAIL>, MITCHELL WICKER JR MD PSC, , , , , , , HAZARD CLINIC, 3, , , , , , , , PO BOX 719, , HAZARD, KY, 417020719, US, 6064391316, 6064350752, 271 E MAIN ST, , HAZARD, KY, 417011939, US, 6064391316, 6064350752, 05/23/2005, 01/17/2014, , , , , WICKER, MITCHELL, , OWNER, 6064391316, 207R00000X, 21790, KY, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 31001035, 05, KY, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , JR., MD, 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , , 
1972506731, 2, , <UNAVAIL>, COMMONWEALTH OF KENTUCKY, , , , , , , GLASGOW STATE NURSING FACILITY, 5, , , , , , , , 207 STATE AVE, , GLASGOW, KY, 421411400, US, 2706594700, 2706511726, 207 STATE AVE, , GLASGOW, KY, 421411400, US, 2706594700, 2706511726, 05/24/2005, 06/09/2017, , , , , ALLEN, AMANDA, , FACILITY DIRECTOR, 2706594707, 313M00000X, 100483, KY, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 12400016, 05, KY, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Y, COMMONWEALTH OF KENTUCKY, <UNAVAIL>, MS., , , , , , , , , , , , , , , , , , 
1336142181, 2, , <UNAVAIL>, BRECKINRIDGE HEALTH INC., , , , , , , BHI FAMILY CARE CENTER, 3, , , , , , , , 105 CHAMBLISS DR, , HARDINSBURG, KY, 401432575, US, 2707562424, 2707562525, 105 CHAMBLISS DR, , HARDINSBURG, KY, 401432575, US, 2707562424, 2707562525, 05/24/2005, 01/03/2013, , , , , ARMES, CINDY, , OFFICE MANAGER, 2707562424, 207Q00000X, 38740, KY, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , CH7872, 01, KY, PALMETTO GBA, 65941817, 05, KY, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1023011921, 2, , <UNAVAIL>, PIKEVILLE MEDICAL CENTER INC, , , , , , , , , , , , , , , , PO BOX 2917, , PIKEVILLE, KY, 415022917, US, 6062184570, 6062184587, 1370 S MAYO TRL, , PIKEVILLE, KY, 415012332, US, 6062184570, 6062184587, 05/24/2005, 03/14/2016, , , , , HAGY, MICHELLE, , CFO, 6062183500, 251B00000X, , , N, 251E00000X, 150185, KY, Y, 251X00000X, , , N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 34000117, 05, KY, , 000000249784, 01, KY, PROVIDER NUMBER BC/BS, 320132, 01, KY, PROVIDER NO. BLACK LUNG, 42000067, 05, KY, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1558364380, 2, , <UNAVAIL>, LOUISVILLE MRI MANAGEMENT LLC, , , , , , , LOUISVILLE IMAGING ALLIANCE, 3, , , , , , , , 445 E MARKET ST, STE 100, LOUISVILLE, KY, 402021112, US, 5025685850, 5025685854, 445 E MARKET ST, STE 100, LOUISVILLE, KY, 402021112, US, 5025685850, 5025685854, 05/24/2005, 06/12/2008, , , , , DOUGLAS, MICHELLE, , CREDENTIALING MANAGER, 5024031401, 261QM1200X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 86000296, 05, KY, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , , , , , , , , , , , , , , , , , 
1659374510, 2, , <UNAVAIL>, WEDCO DISTRICT HEALTH DEPT, , , , , , , WEDCO HOME HEALTH, 3, , , , , , , , PO BOX 218, 302 ODDVILLE AVE, CYNTHIANA, KY, 41031, US, 8592348750, 8592348925, 302 ODDVILLE AVE, , CYNTHIANA, KY, 410311241, US, 8592348750, 8592346493, 05/24/2005, 03/17/2015, , , , , MILLER, CRYSTAL, A, PUBLIC HEALTH DIRECTOR, 8592348750, 251B00000X, 150056, KY, N, 251E00000X, 150056, KY, N, 251K00000X, , KY, Y, 252Y00000X, 150056, KY, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 15001035, 05, KY, , 15001092, 05, KY, , 34002097, 05, KY, , 20049011, 05, KY, , 20105011, 05, KY, , 20091013, 05, KY, , 45344579, 05, KY, , 42001099, 05, KY, , 15000557, 05, KY, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MS., , , , , , , , , , , , , , , , , , 
1710980347, 2, , <UNAVAIL>, BRACKEN COUNTY AMBULANCE DISTRICT, , , , , , , BRACKEN COUNTY EMS, 3, , , , , , , , 836 4TH AVENUE, , HUNTINGTON, WV, 25701, US, 3045227533, 3045224222, 592 BLADESTON DRIVE, , BROOKSVILLE, KY, 41004, US, 6067353783, 6067352694, 05/27/2005, 09/09/2015, , , , , JAYNES, BRENT, , CHIEF, 6067353783, 3416L0300X, 1145, KY, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , P00652148, 01, KY, RAILROAD MEDICARE, 55012017, 05, KY, , 56003551, 05, KY, , 170660801, 05, TX, , 590587008, 01, KY, RAILROAD MEDICARE, 2504132, 05, OH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1235132861, 2, , <UNAVAIL>, NORTHERN KENTUCKY FAMILY FOOT CARE INC, , , , , , , , , , , , , , , , 6200 PLEASANT AVE, STE 3, FAIRFIELD, OH, 450144671, US, 5138299333, , 7579 ALEXANDRIA PIKE, , ALEXANDRIA, KY, 410011041, US, 8596356666, 8596356607, 05/27/2005, 03/22/2016, , , , , PORTER, ROGER, , DPM OWNER, 8596356666, 213E00000X, 239, KY, Y, 332B00000X, 239, KY, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 90003716, 01, KY, MEDICAID DME, 7100159900, 05, KY, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , DPM, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
