1982607933, 2, , <UNAVAIL>, ADR LLC, , , , , , , , , , , , , , , , PO BOX 808, , CUMBERLAND, MD, 215010808, US, 3017241646, 3017247429, 952 SETON DR, , CUMBERLAND, MD, 215021950, US, 3017773522, 3017771902, 05/23/2005, 08/16/2010, , , , , KIM, JONG, K, PRESIDENT, 3017241646, 174400000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , DA5555, 01, , RAILROAD MEDICARE, 403741300, 05, MD, , 001586989, 01, WV, MT ST BS, 216A, 01, MD, MD BLUE SHIELD, 0201927000, 05, WV, , J249, 01, MD, MD BLUE SHIELD, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , MD, 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , , 
1700889755, 2, , <UNAVAIL>, AZAR/FILIPOV MD PA, , , , , , , , , , , , , , , , 31519 WINTERPLACE PKWY, STE 1, SALISBURY, MD, 218041884, US, 4105462500, 4105465005, 31519 WINTERPLACE PKWY, STE 1, SALISBURY, MD, 218041884, US, 4105462500, 4105465005, 05/23/2005, 03/30/2011, , , , , AZAR, ALEX, , PRESIDENT, 4105462500, 152W00000X, , , N, 207W00000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 063341100, 05, MD, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , M.D., 193400000X MULTIPLE SINGLE SPECIALTY GROUP, 193400000X MULTIPLE SINGLE SPECIALTY GROUP, , , , , , , , , , , , , , 
1841293883, 2, , <UNAVAIL>, J KIM RADIOLOGY ASSOCIATES PA, , , , , , , PRO RADIOLOGY, 3, , , , , , , , PO BOX 808, , CUMBERLAND, MD, 215010808, US, 3017241646, 3017247429, 122 S CENTRE ST, , CUMBERLAND, MD, 215023021, US, 3017241646, 3017247429, 05/23/2005, 11/20/2007, , , , , KIM, JONG, K, PRESIDENT, 3017241646, 174400000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , J247, 01, MD, MD BLUE SHIELD, 215A, 01, MD, MD BLUE SHIELD, DA4688, 01, , RAILROAD MEDICARE, 0208455000, 05, WV, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , M.D., 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1306849351, 2, , <UNAVAIL>, WESTERN MD PET IMAGING LLC, , , , , , , , , , , , , , , , PO BOX 808, , CUMBERLAND, MD, 215010808, US, 3017241646, 3017247429, 952 SETON DR, , CUMBERLAND, MD, 215021950, US, 3017773522, 3017771902, 05/23/2005, 07/25/2007, , , , , KIM, JONG, K, PRESIDENT, 3017241646, 174400000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , DB6053, 01, , RAILROAD MEDICARE, J248, 01, MD, MD BLUE SHIELD, 217A, 01, MD, MD BLUE SHIELD, 0208472000, 05, WV, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , M.D., 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , , 
1295738284, 2, , <UNAVAIL>, A & A MEDICAL SUPPLY COMPANY, , , , , , , , , , , , , , , , 146 CHARTLEY DR, STE 100, REISTERSTOWN, MD, 211362331, US, 4105269323, 4105263375, 146 CHARTLEY DR, STE 100, REISTERSTOWN, MD, 211362331, US, 4105269323, 4105263375, 05/23/2005, 10/31/2011, , , , , TRAKHTMAN, MIKHAIL, , OWNER, 4105269323, 332B00000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 510705900, 05, MD, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1740283837, 2, , <UNAVAIL>, WESTERN MARYLAND SURGICENTER LLP, , , , , , , , , , , , , , , , 925 BISHOP WALSH RD, STE 2, CUMBERLAND, MD, 215021845, US, 3017220708, 3017773135, 925 BISHOP WALSH RD, STE 2, CUMBERLAND, MD, 215021845, US, 3017220708, 3017773135, 05/23/2005, 08/21/2014, , , , , STRAUSS, HOWARD, ROBERT, PRESIDENT, 3017778227, 261QA1903X, A1198, MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 241851, 01, MD, MAMSI/MDIPA, 21C-0001198, 01, MD, CMS (HCFA), 490002966, 01, MD, MEDICARE GBA, 021CWE, 01, MD, CAREFIRST GROUP, 583732, 01, MD, RENDERING BC/BS CARE 1ST, PT 9-7-1-02, 01, MD, BLUE CHOICE (GHMSI), 331-331-000, 05, MD, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , DDS, , , , , , , , , , , , , , , , 
1548263619, 2, , <UNAVAIL>, AZAR EYE SURGERY CENTER LLC, , , , , , , , , , , , , , , , 31519 WINTERPLACE PKWY, STE 3, SALISBURY, MD, 218041884, US, 4432602828, 4432602454, 31519 WINTERPLACE PKWY, STE 1, SALISBURY, MD, 218041884, US, 4105462500, 4432602454, 05/23/2005, 06/28/2012, , , , , AZAR, ALEX, , PRESIDENT, 4432602828, 261QA1903X, A1355, MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 465550800, 05, MD, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , M.D., , , , , , , , , , , , , , , , 
1699778415, 2, , <UNAVAIL>, KENNEDY KRIEGER INSTITUTE, , , , , , , , , , , , , , , , 700 N BROADWAY, , BALTIMORE, MD, 212051806, US, 4439239200, 4439231875, 700 N BROADWAY, , BALTIMORE, MD, 212051806, US, 4439239200, 4439231875, 05/24/2005, 07/08/2007, , , , , NEUMAN, MICHAEL, , VICE PRESIDENT OF FINANCE, 4439239200, 284300000X, 30036, MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MR., , , , , , , , , , , , , , , , , , 
1215930011, 2, , <UNAVAIL>, POTOMAC VALLEY NURSING FACILITIES INC., , , , , , , POTOMAC VALLEY NURSING AND WELLNESS CENTER, 3, , , , , , , , 1235 POTOMAC VALLEY RD, , ROCKVILLE, MD, 208502757, US, 3017620700, 3018385103, 1235 POTOMAC VALLEY RD, , ROCKVILLE, MD, 208502757, US, 3017620700, 3018385103, 05/24/2005, 07/09/2007, , , , , BOWDEN, LEAH, T., PRESIDENT AND ADMINISTRATOR, 3017620700, 314000000X, 0015024, MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 7100110, 01, , EVERCARE PROVIDER NUMBER, RT8, 01, MD, GHMSI AND BLUECHOICE PROV, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MS., , RN,  LNHA, , , , , , , , , , , , , , , , 
1215930003, 2, , <UNAVAIL>, COLLINGSWOOD NURSING FACILITIES INC, , , , , , , COLLINGSWOOD NURSING & REHABILITATION CENTER, 3, , , , , , , , 299 HURLEY AVE, , ROCKVILLE, MD, 208503118, US, 3017628900, 3017628020, 299 HURLEY AVE, , ROCKVILLE, MD, 208503118, US, 3017628900, 3017628020, 05/24/2005, 08/07/2007, , , , , MARTIN, CYNTHIA, MYERS, ADMINISTRATOR, 3017628900, 314000000X, , MD, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 7100090, 01, , EVERCARE PROVIDER NUMBER, 02FVCO, 01, MD, BLUECROSS MARYLAND, RE6, 01, , BCBSNCA, 155327500, 05, MD, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MS., , , , , , , , , , , , , , , , , , 
1083617625, 2, , <UNAVAIL>, ORTHOPAEDIC AND SPORTS MEDICINE CENTER LLC, , , , , , , , , , , , , , , , 108 FORBES ST, , ANNAPOLIS, MD, 214011502, US, 4102688862, 4102804701, 108 FORBES ST, , ANNAPOLIS, MD, 214011502, US, 4102688862, 4102804701, 05/27/2005, 12/17/2007, , , , , CHAPUT, MARK, , ADMINISTRATOR CEO, 4102688862, 207XX0005X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 146000500, 05, MD, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , , 
