1477556231, 2, , <UNAVAIL>, UNIVERSITY OPHTHALMOLOGY ASSOCIATES, , , , , , , , , , , , , , , , 2500 N STATE ST, STE B329, JACKSON, MS, 392164500, US, 6018153931, 6018153773, 2500 N STATE ST, STE B329, JACKSON, MS, 392164500, US, 6018153931, 6018153773, 05/24/2005, 09/09/2009, , , , , CHEN, CHING, JYGH, MANAGING PARTNER, 6019845022, 207W00000X, 08640, MS, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 09015396, 05, MS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , M. D., 193400000X MULTIPLE SINGLE SPECIALTY GROUP, , , , , , , , , , , , , , , 
1285637090, 2, , <UNAVAIL>, CUNNINGHAM PHYSICAL MEDICINE, , , , , , , , , , , , , , , , 880 GREENLEAF RD, , COLDWATER, MS, 386188133, US, 9012912400, , 7601 SOUTHCREST PKWY, , SOUTHAVEN, MS, 386714739, US, 9012912400, , 05/24/2005, 04/13/2015, , , , , CUNNINGHAM, MARK, L, OWNER, 9012912400, 208100000X, MD 16101, TN, N, 208100000X, MD 11905, MS, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , MD, 193400000X MULTIPLE SINGLE SPECIALTY GROUP, 193400000X MULTIPLE SINGLE SPECIALTY GROUP, , , , , , , , , , , , , , 
1265435010, 2, , <UNAVAIL>, SOUTHERN EYE CENTER P.A. II, , , , , , , SOUTHERN EYE CENTER OF EXCELLENCE, 3, , , , , , , , 1420 S 28TH AVE, , HATTIESBURG, MS, 394023107, US, 6012643937, 6012645930, 1420 S 28TH AVE, , HATTIESBURG, MS, 394023107, US, 6012643937, 6012645930, 05/24/2005, 08/15/2008, , , , , WEEMS, JOHN, , ADMINISTRATOR, 6012643937, 261QM2500X, 010, MS, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 09014315, 05, MS, , 00770066, 05, MS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1801899679, 2, , <UNAVAIL>, PIONEER HEALTH SERVICES OF NEWTON COUNTY, , , , , , , NEWTON FAMILY AND SPECIALTY CLINIC, 3, , , , , , , , 9421 EASTSIDE DRIVE EXTENTION, , NEWTON, MS, 39345, US, 6018491682, 6018491969, 9421 EASTSIDE DRIVE EXTENTION, , NEWTON, MS, 393452613, US, 6016832031, 6016830262, 05/24/2005, 09/15/2010, , , , , MCNULTY, JOSEPH, S, CEO, 6018491682, 261QR1300X, 16-321, MS, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , III, , , , , , , , , , , , , , , , , 
1588667281, 2, , <UNAVAIL>, COPIAH COUNTY MEDICAL CENTER, , , , , , , , , , , , , , , , PO BOX 889, , HAZLEHURST, MS, 39083, US, 6015747000, 6015747216, 27190 HIGHWAY 28, , HAZLEHURST, MS, 390832224, US, 6015747000, 6015747216, 05/27/2005, 03/13/2017, , , , , LOTT, BENJAMIN, , CHIEF EXECUTIVE OFFICER, 6015747000, 282N00000X, 11-164, MS, N, 282NC0060X, 11-164, MS, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 00020115, 05, MS, , 00050875, 05, MS, , 09013467, 05, MS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , MHA,  BSN,  RN, , , , , , , , , , , , , , , , 
1407859986, 2, , <UNAVAIL>, BYRONS DRUG STORE INC, , , , , , , BYRONS DISCOUNT DRUGS, 3, , , , , , , , 196 SGT S PRENTISS DR, UNIT B, NATCHEZ, MS, 391204737, US, 6014428623, 6014450104, 196 SGT S PRENTISS DR, UNIT B, NATCHEZ, MS, 391204737, US, 6014428623, 6014450104, 05/27/2005, 12/14/2015, , , , , CARNETTE, RONALD, , PHARMACIST AND OWNER, 6014428623, 333600000X, , , N, 3336C0003X, 02134/1.1, MS, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 00330699, 05, MS, , 2050471, 01, , PK, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , RPH, , , , , , , , , , , , , , , , 
1104829597, 2, , <UNAVAIL>, HOGAN SURGICAL CENTER, , , , , , , , , , , , , , , , 351 COWAN RD, , GULFPORT, MS, 395072019, US, 2288961120, 2288961332, 351 COWAN RD, , GULFPORT, MS, 395072019, US, 2288961120, 2288961332, 05/31/2005, 09/24/2007, , , , , HOGAN, CHRISTOPHER, D, OWNER, 2288961120, 261QA1903X, , MS, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 00770572, 05, MS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , MD, , , , , , , , , , , , , , , , 
1275536690, 2, , <UNAVAIL>, HOGAN EYE CLINIC, , , , , , , , , , , , , , , , 351 COWAN RD, , GULFPORT, MS, 395072019, US, 2288961120, 2288961332, 351 COWAN RD, , GULFPORT, MS, 395072019, US, 2288961120, 2288961332, 05/31/2005, 04/20/2008, , , , , HOGAN, CHRISTOPHER, D, DOCTOR OWNER, 2288961120, 207W00000X, =========, MS, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 09015426, 05, MS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , M.D., 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1720081052, 2, , <UNAVAIL>, LAKEVIEW CORPORATION, , , , , , , LAKEVIEW NURSING CENTER, 3, , , , , , , , 16411 ROBINSON RD, , GULFPORT, MS, 395034879, US, 2288313001, 2288310408, 16411 ROBINSON RD, , GULFPORT, MS, 395034879, US, 2288313001, 2288310408, 05/31/2005, 04/28/2008, , , , , CARPENTER, DIANE, , ADMINISTRATOR, 2288313001, 314000000X, 735, MS, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 00230088, 05, MS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MS., , LNHA, , , , , , , , , , , , , , , , 
1114929296, 2, , <UNAVAIL>, HULLS PHARMACY INC, , , , , , , MEDICAP PHARMACY, 3, , , , , , , , 2000 24TH AVE, , MERIDIAN, MS, 393013120, US, 6016930033, 6016930062, 2000 24TH AVE, , MERIDIAN, MS, 393013120, US, 6016930033, 6016930062, 06/02/2005, 12/15/2008, , , , , HULL, LESLIE, C, OWNER MANAGER PRESIDENT, 6016930033, 3336C0003X, 03424-01MM, MS, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 00330246, 05, MS, , 2518629, 01, , NABP, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , R. PH., , , , , , , , , , , , , , , , 
1952305815, 2, , <UNAVAIL>, HICKORY FLAT CLINIC ASSOCIATION INC, , , , , , , , , , , , , , , , PO BOX 128, , HICKORY FLAT, MS, 386330128, US, 6623336387, 6623336725, 250 OAK ST, , HICKORY FLAT, MS, 386338122, US, 6623336387, 6623336725, 06/09/2005, 07/08/2007, , , , , MORRISSON, SUE, , CLINIC DIRECTOR, 6623336387, 261QR1300X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 09014193, 05, MS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , CFNP, , , , , , , , , , , , , , , , 
