1619970795, 2, , <UNAVAIL>, SWEET MEDICAL CENTER INC, , , , , , , , , , , , , , , , PO BOX 309, , CHINOOK, MT, 595230309, US, 4063572403, 4063573252, 419 PENNSYLVANIA ST, , CHINOOK, MT, 595230309, US, 4063572403, 4063573252, 05/23/2005, 01/05/2012, , , , , PAYNE, JARED, N, EXECUTIVE DIRECTOR, 4063572403, 261QF0400X, 9791, MT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 730354, 05, MT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , MBA, , , , , , , , , , , , , , , , 
1023011590, 2, , <UNAVAIL>, WIBAUX COUNTY NURSING HOME OF WIBAUX MONTANA, , , , , , , , , , , , , , , , 712 WIBAUX ST S, , WIBAUX, MT, 593539022, US, 4067962429, 4067968109, 712 WIBAUX ST S, , WIBAUX, MT, 593539022, US, 4067962429, 4067968109, 05/27/2005, 05/12/2014, , , , , BERTELSEN, TINA, , BUSINESS OFFICE MANAGER, 4067962429, 314000000X, 10055, MT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1881697209, 2, , <UNAVAIL>, MARIAS HEALTHCARE SERVICES INC, , , , , , , , , , , , , , , , 670 PARK AVE, , SHELBY, MT, 594741663, US, 4064343100, 4064343143, 670 PARK AVE, , SHELBY, MT, 594741663, US, 4064343100, 4064343143, 05/31/2005, 04/30/2014, , , , , BROWNELL, JAMIE, F, CEO, 4064343100, 261QF0400X, 271825, MT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , CPC,  CPC-H, , , , , , , , , , , , , , , , 
1730183609, 2, , <UNAVAIL>, CITY OF KALISPELL, , , , , , , FIRE DEPARTMENT, 5, , , , , , , , PO BOX 1997, , KALISPELL, MT, 599031997, US, 4067587760, 4067587777, 312 1ST AVE E, , KALISPELL, MT, 599014936, US, 4067587760, 4067587777, 06/09/2005, 11/09/2012, , , , , DEDMAN, DAVID, , FIRE CHIEF, 4067587760, 3416L0300X, 018, MT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 00440050, 05, MT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1902800857, 2, , <UNAVAIL>, DISCOVERY CARE CENTRE LTD, , , , , , , , , , , , , , , , 601 N 10TH ST, , HAMILTON, MT, 598402060, US, 4063632273, 4063632709, 601 N 10TH ST, , HAMILTON, MT, 598402060, US, 4063632273, 4063632709, 06/09/2005, 07/09/2007, , , , , MALENSEK, KIM, K, CFO, 4063632273, 314000000X, 10190, MT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1326042078, 2, , <UNAVAIL>, BARRETT HOSPITAL DEVELOPMENT CORPORATION, , , , , , , BARRETT HOSPITAL & HEALTHCARE, 3, , , , , , , , 600 MT HWY 91 SOUTH, , DILLON, MT, 597253597, US, 4066833000, 4066833206, 600 MT HWY 91 SOUTH, , DILLON, MT, 597253597, US, 4066833000, 4066833206, 06/10/2005, 07/07/2016, , , , , ACHTER, RICHARD, , CHIEF FINANCIAL OFFICER, 4066833003, 282NC0060X, 9896, MT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1619972106, 2, , <UNAVAIL>, MONTANA HEART INSTITUTE, , , , , , , , , , , , , , , , 2900 12TH AVE N, STE 204E, BILLINGS, MT, 591010164, US, 4062375001, 4062375010, 2900 12TH AVE N, STE 204E, BILLINGS, MT, 591017502, US, 4062375001, 4062375010, 06/20/2005, 07/06/2011, , , , , TERRY, ROBERT, T, PHYSICIAN, 4062375001, 207RI0011X, 6456, MT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , MD, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1669478319, 2, , <UNAVAIL>, BILLINGS SURGICAL GROUP, , , , , , , , , , , , , , , , 2900 12TH AVENUE N #305E, , BILLINGS, MT, 591017592, US, 4062456982, 4062451539, 2900 12TH AVE N, STE 305E, BILLINGS, MT, 591017506, US, 4062456982, 4062451539, 06/27/2005, 04/30/2008, , , , , ARPIN, JEFFREY, P, OWNER, 4062456982, 261QM2500X, =========, MT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , MD, , , , , , , , , , , , , , , , 
1144226986, 2, , <UNAVAIL>, PHYSICAL THERAPY DOWN UNDER INC, , , , , , , , , , , , , , , , 820 2ND ST W, , HAVRE, MT, 595013476, US, 4062654805, 4062654834, 820 2ND ST W, , HAVRE, MT, 595013476, US, 4062654805, 4062654834, 06/27/2005, 10/29/2014, , , , , PARROTTE, KRISTI, LEIGH, OWNER BILLING MANAGER, 4062654805, 261QP2000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 000083351, 01, MT, MEDICARE PTAN, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , , , , , , , , , , , , , , , , , 
1831196393, 2, , <UNAVAIL>, GALLATIN COUNTY, , , , , , , GALLATIN REST HOME, 5, , , , , , , , 1221 DURSTON RD, , BOZEMAN, MT, 597152725, US, 4065823300, 4065823333, 1221 DURSTON RD, , BOZEMAN, MT, 597152725, US, 4065823300, 4065823333, 06/30/2005, 03/03/2009, , , , , WEST, VICKIE, , ADMINISTRATOR, 4065823300, 314000000X, 9959, MT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0316836, 05, MT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , RN, , , , , , , , , , , , , , , , 
1760489272, 2, , <UNAVAIL>, PRAIRIE COUNTY HOSPITAL DISTRICT, , , , , , , PRAIRIE COMMUNITY HEALTH CENTER, 3, , , , , , , , PO BOX 156, , TERRY, MT, 593490156, US, 4066355511, 4066355510, 312 SOUTH ADAMS AVENUE, , TERRY, MT, 593490156, US, 4066355511, 4066355510, 06/30/2005, 01/23/2008, , , , , REYMAN, REED, E., ADMINISTRATOR, 4066355511, 282NC0060X, 10125, MT, Y, 314000000X, 10124, MT, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0720551, 05, MT, , 313456, 05, MT, , 4105777, 05, MT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
