1083617013, 2, , <UNAVAIL>, MANCHESTER COMMUNITY HEALTH CENTER, , , , , , , , , , , , , , , , 145 HOLLIS ST, , MANCHESTER, NH, 031011325, US, 6036269500, 6036260899, 145 HOLLIS ST, , MANCHESTER, NH, 031011325, US, 6036269500, 6036260899, 05/23/2005, 06/02/2016, , , , , MCCRACKEN, KRISTEN, , PRESIDENT CEO, 6039355210, 261QF0400X, , NH, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3080891, 05, NH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MS., , , , , , , , , , , , , , , , , , 
1366445090, 2, , <UNAVAIL>, COUNTY OF CHESHIRE, , , , , , , MAPLEWOOD NURSING HOME, 5, , , , , , , , 33 WEST ST, , KEENE, NH, 034313355, US, , , 201 RIVER RD, , WESTMORELAND, NH, 034674410, US, 6033994219, , 05/27/2005, 04/20/2008, , , , , WOZMAK, JOHN, , COUNTY ADMINISTRATOR, 6033528215, 313M00000X, 00084, NH, X, 314000000X, 00084, NH, X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , =========, 01, NH, FEIN, 30010973, 05, NH, , 30590545, 05, NH, , 30010206, 05, NH, , 80848085, 05, NH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1144223702, 2, , <UNAVAIL>, LITTLETON HOSPITAL ASSOCIATION, , , , , , , LITTLETON REGIONAL HEALTHCARE, 3, , , , , , , , PO BOX 160, , LITTLETON, NH, 03561, US, 6034449000, , 600 ST JOHNSBURY RD, , LITTLETON, NH, 03561, US, 6034449395, , 05/27/2005, 09/27/2017, , , , , WALKER, LESLIE, , VP OF FINANCE, 6034449505, 282NC0060X, 02790, NH, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0285, 05, NY, , 138260000, 05, ME, , 7003625, 05, MA, , 0300008, 05, RI, , 301302, 01, NH, ANTHEM BCBS PROV #, OP13013, 05, RI, , 0287, 05, NY, , 0301302, 05, VT, , 7100353, 05, MA, , 54141, 01, NH, CIGNA PROVIDER #, 0000783, 05, VT, , 80300008, 05, NH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1194728741, 2, , <UNAVAIL>, NURSES PRN INC, , , , , , , SILVER TOUCH HOME HEALTH CARE, 3, , , , , , , , PO BOX 122, , MERRIMACK, NH, 030540122, US, 6034249479, 6034244199, 22 GREELEY ST, STE 1A, MERRIMACK, NH, 030544460, US, 6034249479, 6034244199, 05/27/2005, 08/15/2011, , , , , DEDOUSIS, DIANA, L, ADMINISTRATOR, 6034249479, 251E00000X, 02856, NH, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 80307070, 05, NH, , =========, 01, NH, OTHER INSURNACE CARRIERS, 30006534, 05, NH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MS., , RN , BSN, , , , , , , , , , , , , , , , 
1114920568, 2, , <UNAVAIL>, RANNIE WEBSTER FOUNDATION, , , , , , , WEBSTER AT RYE, 3, , , , , , , , 795 WASHINGTON RD, , RYE, NH, 038702318, US, 6039648144, 6039641483, 795 WASHINGTON RD, , RYE, NH, 038702318, US, 6039648144, 6039641483, 05/31/2005, 07/09/2007, , , , , ARGUE, THOMAS, WILLIAM, ADMINISTRATOR, 6039648144, 314000000X, 01237, NH, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 30002028, 05, NH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MR., , NHA, , , , , , , , , , , , , , , , 
1215930680, 2, , <UNAVAIL>, TOWN OF NEWPORT, , , , , , , DBA NEWPORT AMBULANCE SERVICE, 3, , , , , , , , 15 SUNAPEE ST, , NEWPORT, NH, 037731462, US, 6038631877, 6038638008, 15 SUNAPEE ST, , NEWPORT, NH, 037731462, US, 6038631877, 6038638008, 05/31/2005, 08/04/2016, , , , , DUFOUR, JOANNE, , CAC,  EXECUTIVE ASSISTANT, 6038631877, 3416L0300X, 0084, NH, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1437151651, 2, , <UNAVAIL>, HOME HEALTH & HOSPICE CARE, , , , , , , , , , , , , , , , 7 EXECUTIVE PARK DR, , MERRIMACK, NH, 030544058, US, 6038822941, 6034239701, 7 EXECUTIVE PARK DR, , MERRIMACK, NH, 030544058, US, 6038822941, 6034239701, 06/01/2005, 11/21/2017, , , , , GETTS, JOHN, , PRESIDENT/CEO, 6038822941, 251E00000X, 02495, NH, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 80307017, 05, NH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1700880739, 2, , <UNAVAIL>, CAROL A BRODY, , , , , , , LAKES REGION NURSING CARE AND COMFORT LLC, 3, , , , , , , , 102 COURT ST, , LACONIA, NH, 032463635, US, 6035285020, 6035280352, 102 COURT ST, , LACONIA, NH, 032463635, US, 6035285020, 6035280352, 06/08/2005, 10/22/2012, , , , , BRODY, SPENCER, JOHN, MEDICAL DIRECTOR, 6035285020, 251E00000X, 03606, NH, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 40597252, 01, NH, HCBC, 40600228, 05, NH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , MD,  MPH, , , , , , , , , , , , , , , , 
1073517934, 2, , <UNAVAIL>, TOWN OF DERRY, , , , , , , , , , , , , , , , PO BOX 9565, , MANCHESTER, NH, 031089565, US, 6034326751, 6035379216, 14 MANNING ST, , DERRY, NH, 030383201, US, 6034326751, , 06/09/2005, 06/29/2012, , , , , HEMEON, CHUCK, , EMS DIRECTOR, 6034326751, 341600000X, 0029, NH, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 029000222, 01, , TRICARE, 1710532, 05, MA, , 80596297, 05, NH, , 7106297Y0NH01, 01, , ANTHEM BC/BS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1831194083, 2, , <UNAVAIL>, FARLEYS REXALL PHARMACY INC, , , , , , , OLIVER DRUG, 3, , , , , , , , PO BOX 27, , PLYMOUTH, NH, 032640027, US, 6035361086, 6035365143, 103 BOULDER POINT DR., , PLYMOUTH, NH, 032641130, US, 6035361086, 6035365143, 06/15/2005, 02/22/2010, , , , , OLIVER, RALPH, L, PRESIDENT, 6035361086, 183500000X, 0152P, NH, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 80877568, 05, NH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , R.PH., 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1851396006, 2, , <UNAVAIL>, DR SULS FAMILY & SPORTS MEDICINE, , , , , , , , , , , , , , , , 601 RIVERWAY PL UNIT 6, , BEDFORD, NH, 031106767, US, 6036222112, 6036241570, 601 RIVERWAY PL UNIT 6, , BEDFORD, NH, 031106767, US, 6036222112, 6036241570, 06/15/2005, 05/31/2011, , , , , SULS, HOWARD, LEE, OWNER, 6036222112, 207Q00000X, 9753, NH, Y, 2081S0010X, 9753, NH, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 55970, 01, NH, CIGNS VENDER #, 30211159, 05, NH, , 2567744, 01, NH, OXFORD, CK3214, 01, NH, RR MEDICARE, M17742, 01, NH, BCBS OF MASSACHUSETTS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , M.D., 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , 
