1952304008, 2, , <UNAVAIL>, WILPAGE INC., , , , , , , WILPAGE MEDICAL, 3, , , , , , , , PO BOX 37, , HAWTHORNE, NJ, 075070037, US, 9734234100, 9734230715, 146 GENEVIEVE AVE, , HAWTHORNE, NJ, 075062332, US, 9734234100, 9734230715, 05/23/2005, 11/19/2013, , , , , ABRUZZO, SYLVESTER, , TREASURER, 9738354716, 332B00000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0093831, 05, NJ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., JR., , , , , , , , , , , , , , , , , 
1356344303, 2, , <UNAVAIL>, BCS PHYSICAL THERAPY SERVICES P.A., , , , , , , , , , , , , , , , 1001 W MAIN ST, STE A, FREEHOLD, NJ, 077282579, US, 7327804300, 7327807930, 1001 W MAIN ST, STE A, FREEHOLD, NJ, 077282579, US, 7327804300, 7327807930, 05/23/2005, 07/09/2007, , , , , SMALL, BERNICE, , DIRECTOR, 7327804300, 261QR0400X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MS., , P.T., , , , , , , , , , , , , , , , 
1811990047, 2, , <UNAVAIL>, NBN INFUSIONS INC, , , , , , , NBN INFUSIONS, 3, , , , , , , , 2 PIN OAK LN, UNIT 250, CHERRY HILL, NJ, 080031632, US, 8566690217, 8565208067, 2 PIN OAK LN, UNIT 250, CHERRY HILL, NJ, 080031632, US, 8566690217, 8565208067, 05/23/2005, 02/27/2017, , , , , BOETTCHER, JOSEPH, , COO, 8566690217, 332B00000X, , , N, 332BP3500X, , , N, 332BX2000X, , , N, 333600000X, 28RS00454200, NJ, Y, 3336C0003X, , , N, 3336C0004X, , , N, 3336H0001X, , , N, 3336S0011X, , , N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4533402, 05, NJ, , 000556916, 05, DE, , 001241395004, 05, PA, , 2055764, 01, , PK, 3447600, 05, NJ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , RPH, , , , , , , , , , , , , , , , 
1710980917, 2, , <UNAVAIL>, OCEAN HEALTH INITIATIVES, , , , , , , , , , , , , , , , 101 2ND ST, , LAKEWOOD, NJ, 087013324, US, 7323636655, 7323636656, 101 2ND ST, , LAKEWOOD, NJ, 087013324, US, 7323636655, 7323636656, 05/23/2005, 07/08/2007, , , , , BERGER, THERESA, , CEO, 7323636655, 261QF0400X, 23027, NJ, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 311842, 01, NJ, UGS, 0026590, 05, NJ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1386647485, 2, , <UNAVAIL>, VISITING HEALTH SERVICES OF NEW JERSEY INC., , , , , , , , , , , , , , , , 783 RIVERVIEW DR, P.O. BOX 1007, TOTOWA, NJ, 075121717, US, 9732564636, 9732566778, 783 RIVERVIEW DR, , TOTOWA, NJ, 075121717, US, 9732564636, 9732566778, 05/23/2005, 11/23/2010, , , , , LOMBARDO, ANTHONY, , PRESIDENT/CHIEF EXECUTIVE OFFICER, 9732564636, 251E00000X, 71603, NJ, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3690903, 05, NJ, , 3690911, 05, NJ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Y, VISITING HEALTH SERVICES MANAGEMENT INC., <UNAVAIL>, , , , , , , , , , , , , , , , , , , 
1336142249, 2, , <UNAVAIL>, ADVANCED AMBULATORY, , , , , , , , , , , , , , , , PO BOX 15275, , NEWARK, NJ, 071925275, US, 2018042800, , 37 E WILLOW ST, , MILLBURN, NJ, 070411416, US, 9739128111, , 05/24/2005, 05/12/2011, , , , , STILLMAN, RICHARD, I, PRESIDENT, 9739128111, 174400000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1629071535, 2, , <UNAVAIL>, JEFFS SURGICAL SUPPLY INC., , , , , , , , , , , , , , , , 2249 WOODBRIDGE AVE, , EDISON, NJ, 088175554, US, 7329855333, 7329858660, 2249 WOODBRIDGE AVE, , EDISON, NJ, 088175554, US, 7329855333, 7329858660, 05/24/2005, 09/04/2007, , , , , ACKERMAN, JEFFREY, , PRESIDENT, 7329855333, 332BX2000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 7427506, 05, NJ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1730182627, 2, , <UNAVAIL>, TOWNSHIP OF MONROE, , , , , , , , , , , , , , , , 1 MUNICIPAL PLZ, , MONROE TWP, NJ, 088311900, US, 7325214400, 7325215659, 2 MUNICIPAL PLZ, , MONROE TWP, NJ, 088311900, US, 7325214400, 7325215659, 05/24/2005, 07/08/2007, , , , , HAMILTON, WAYNE, , BUSINESS ADMINISTRATOR, 7325214440, 3416L0300X, N/A, NJ, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 7716702, 05, NJ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MR., , , , , , , , , , , , , , , , , , 
1457354037, 2, , <UNAVAIL>, OPTOMETRIC PHYSICIANS OF MIDDLETOWN PA, , , , , , , EYES FIRST VISION CENTER, 3, , , , , , , , 1147 HWY 35, , MIDDLETOWN, NJ, 077482605, US, 7326717300, 7327061605, 1147 HWY 35, , MIDDLETOWN, NJ, 077482605, US, 7326717300, 7327061605, 05/27/2005, 04/20/2008, , , , , GERSHENOW, TODD, HOWARD, OPTOMETRIST, 7326717300, 152W00000X, =========, NJ, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3175308, 05, NJ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , OD, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1942203518, 2, , <UNAVAIL>, OPTOMETRIC PHYSCIANS OF LONG BRANCH, , , , , , , EYESFIRST VISION CENTER, 3, , , , , , , , 444 OCEAN BLVD, , LONG BRANCH, NJ, 077405651, US, 7328700600, 7328700020, 444 OCEAN BLVD, , LONG BRANCH, NJ, 077405651, US, 7328700600, 7328700020, 05/27/2005, 04/20/2008, , , , , GERSHENOW, TODD, HOWARD, OPTOMETRIST, 7328700600, 152W00000X, =========, NJ, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 8378801, 05, NJ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , DR., , OD, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1154324721, 2, , <UNAVAIL>, OPTOMETRIC PHYSCIANS OF RED BANK, , , , , , , EYESFIRST VISION CENTER, 3, , , , , , , , 60 BROAD ST, , RED BANK, NJ, 077011936, US, 7325305151, 7328426629, 60 BROAD ST, , RED BANK, NJ, 077011936, US, 7325305151, 7328426629, 05/27/2005, 04/20/2008, , , , , GERSHENOW, TODD, HOWARD, OPTOMETRIST, 7325305151, 152W00000X, =========, NJ, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3263509, 05, NJ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MR., , OD, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
