1134122021, 2, , <UNAVAIL>, NEVADA CARDIOLOGY PROFESSIONAL ASSN, , , , , , , NEVADA CARDIOLOGY ASSOCIATES, 3, , , , , , , , 3121 S MARYLAND PKWY, STE 512, LAS VEGAS, NV, 891092310, US, 7027967150, 7027969071, 3121 S MARYLAND PKWY, STE 512, LAS VEGAS, NV, 891092310, US, 7027967150, 7027969071, 05/24/2005, 08/27/2014, , , , , SALYER, PETRA, , PRACTICE MANAGER, 7022331000, 207RC0000X, 175317600, NV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1245234145, 2, , <UNAVAIL>, LAS VEGAS KIDNEY CLINIC INC., , , , , , , , , , , , , , , , 1905 CIVIC CENTER DR, STE 201, NORTH LAS VEGAS, NV, 890307116, US, 7022149516, 7022149415, 1905 CIVIC CENTER DR, STE 201, NORTH LAS VEGAS, NV, 890307116, US, 7022149516, 7022149415, 06/08/2005, 06/06/2008, , , , , BENNETT, GALEN, ROBERT, ADMINISTRATOR, 7022149516, 261QM2500X, 3221ESR3, NV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 100501915, 05, NV, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , BSBA, , , , , , , , , , , , , , , , 
1962406686, 2, , <UNAVAIL>, CANOWA SUB 1, , , , , , , SCHLEUSNER CHIROPRACTIC CENTER, 3, , , , , , , , 2091 E SAHARA AVE, , LAS VEGAS, NV, 891043829, US, 7027324044, 7027328396, 2091 E SAHARA AVE, , LAS VEGAS, NV, 891043829, US, 7027324044, 7027328396, 06/09/2005, 03/07/2014, , , , , SCHLEUSNER, LARRY, P., OWNER, 7027324044, 111N00000X, B79, NV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , V106920, 01, NV, MEDICARE PTAN, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , D.C., 193400000X MULTIPLE SINGLE SPECIALTY GROUP, , , , , , , , , , , , , , , 
1891799342, 2, , <UNAVAIL>, COUNTY OF EUREKA, , , , , , , , , , , , , , , , PO BOX 407, , EUREKA, NV, 893160407, US, 7752375263, 7752375614, 10 S MAIN ST, , EUREKA, NV, 893169995, US, 7752375263, 7752375614, 06/10/2005, 10/12/2011, , , , , REBALEATI, MIKE, , EUREKA COUNTY RECORDER/AUDITOR, 7752375263, 3416L0300X, 07131, NV, Y, 3416L0300X, 07325, NV, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 003206001, 05, NV, , 20099110A, 05, OK, , XMTE06564, 05, CA, , 43588824, 05, CO, , V=========, 01, NV, EUREKA COUNTY VOLUNTEER E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1780688234, 2, , <UNAVAIL>, COLONIAL HOME CARE, , , , , , , , , , , , , , , , 3530 E FLAMINGO RD, STE 270, LAS VEGAS, NV, 891215092, US, 7027338533, 7027338498, 3530 E FLAMINGO RD, STE 270, LAS VEGAS, NV, 891215092, US, 7027338533, 7027338498, 06/10/2005, 07/09/2007, , , , , CLARK, DARRIS, , BUSINESS MANAGER, 7027338533, 251E00000X, 524HHA-10, NV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , RN, , , , , , , , , , , , , , , , 
1053316810, 2, , <UNAVAIL>, APM MEDICAL SUPPLIES, , , , , , , , , , , , , , , , 5025 S EASTERN AVE, SUITE 4, LAS VEGAS, NV, 891192318, US, 7022590374, 7022594729, 5025 S EASTERN AVE, SUITE 4, LAS VEGAS, NV, 891192318, US, 7022590374, 7022594729, 06/17/2005, 03/21/2016, , , , , DENTO, AMANDA, LEA, PRESIDENT, 4699396116, 332B00000X, , , Y, 332B00000X, , NV, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , , , , , , , , , , , , , , , , , 
1750387114, 2, , <UNAVAIL>, MAM MEDICAL SUPPLY INC., , , , , , , , , , , , , , , , 2300 E DESERT INN RD, STE 2, LAS VEGAS, NV, 891093233, US, 7023690510, 7023699846, 2300 E DESERT INN RD, STE 2, LAS VEGAS, NV, 891093233, US, 7023690510, 7023699846, 06/21/2005, 07/08/2007, , , , , BEAVER, ANA, A., PRESIDENT, 7023690510, 332B00000X, 2000087.424, NV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MP00124, 01, NV, NV. ST. BOARD OF PHARMACY, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MS., , , , , , , , , , , , , , , , , , 
1528064854, 2, , <UNAVAIL>, EYE SURGERY CENTER OF NEVADA, , , , , , , , , , , , , , , , PO BOX 2005, , CARSON CITY, NV, 897022005, US, 7758823950, 7758821726, 3839 N CARSON ST, , CARSON CITY, NV, 897061935, US, 7758823950, 7758821726, 06/22/2005, 10/11/2011, , , , , FISCHER, MICHAEL, JOHN, ADMINISTRATOR, 7758823950, 261QA1903X, 473ASC-7, NV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 004613002, 05, NV, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , M.D., , , , , , , , , , , , , , , , 
1477559169, 2, , <UNAVAIL>, 7 HILLS RADIOLOGY LLC, , , , , , , , , , , , , , , , PO BOX 530326, , HENDERSON, NV, 890530326, US, 7024078647, 7024078649, 870 SEVEN HILLS DR, STE 101, HENDERSON, NV, 890524378, US, 7029329888, 7029329887, 06/27/2005, 06/13/2008, , , , , EGEMONU, CHINASA, O, PRESIDENT, 7024078647, 261QH0100X, 0304250402, NV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1235135849, 2, , <UNAVAIL>, MEDTECH SERVICES INC, , , , , , , , , , , , , , , , 555 GENTRY WAY, , RENO, NV, 895024612, US, 7758262022, 7758266040, 555 GENTRY WAY, , RENO, NV, 895024612, US, 7758262022, 7758266040, 06/28/2005, 08/14/2007, , , , , GRAVER, RICHARD, , PRESIDENT, 7758262022, 332B00000X, MP00006, NV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , JR., , , , , , , , , , , , , , , , , 
1730186388, 2, , <UNAVAIL>, CARDIOLOGY ASSOC. OF NEVADA, , , , , , , HEART INSTITUTE OF NEVADA, 3, , , , , , , , 1090 E DESERT INN RD, # H100, LAS VEGAS, NV, 891092824, US, 7027655720, 7027655826, 1090 E DESERT INN RD, # H100, LAS VEGAS, NV, 891092824, US, 7027655720, 7027655826, 06/28/2005, 04/20/2008, , , , , WINN, CHERYL, , ADMINISTRATOR, 7027655718, 207RC0000X, =========, NV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MS., , , 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
