0.40000,1831192863,MONCRIEF CANCER CENTER,1450 8TH AVE,,FORT WORTH,TX,761044110,8179237393,Oncology - Radiation,,,,,,,,,,,,,,
0.40000,1093718025,YODORINCMISSIONPLAZAPHARMACY,906 S BRYAN RD,STE 101A,MISSION,TX,785726657,9565818833,Durable Medical Equipment & Medical Supplies,Pharmacy,,,,,,,,,,,,,
0.40000,1063415008,ARLINGTON MEDICAL IMAGING LLC,2140 E SOUTHLAKE BLVD,L-426,SOUTHLAKE,TX,760926516,2145028157,Diagnostic Radiology,Physiological Laboratory,,,,,,,,,,,,,
0.40000,1407859606,TKG INC.,13737 NOEL RD,SUITE 1400,DALLAS,TX,752401331,2144914710,Home Health,,,,,,,,,,,,,,
0.40000,1912900101,TEXAS PANHANDLE MHMR,901 WALLACE BLVD,BLDG 501,AMARILLO,TX,791061705,8063513200,Case Management,,,,,,,,,,,,,,
0.40000,1225031404,DALLAS OXYGEN CORPORATION,11857 JUDD CT,STE 214,DALLAS,TX,752434411,9726906404,Oxygen Equipment & Supplies,,,,,,,,,,,,,,
0.40000,1528061793,HEART OF TEXAS FOOT CARE CENTER,103 A SOUTH PARK DR.,,BROWNWOOD,TX,76801,3266460715,Podiatrist,Foot Surgery,,,,,,,,,,,,,
0.40000,1730182999,TURNARE LTD.,2900 W PARK ROW DR,,PANTEGO,TX,760132049,8175488206,Durable Medical Equipment & Medical Supplies,,,,,,,,,,,,,,
0.40000,1194728220,DALLAS COUNTY HOSPITAL DISTRICT,2229 N CARROLL BLVD,,DENTON,TX,762011833,9403878508,Skilled Nursing Facility,,,,,,,,,,,,,,
0.40000,1588667604,TERRICK PROPERTIES INC,4320 W 19TH ST,,LUBBOCK,TX,794072407,8067951774,Skilled Nursing Facility,,,,,,,,,,,,,,
0.40000,1225031446,SHANNON MEDICAL CENTER,2030 PULLIAM ST,STE 6,SAN ANGELO,TX,769055157,3256597480,Home Health,,,,,,,,,,,,,,
0.40000,1427051630,AMERICAN MEDICAL & REHAB COMPANY,5441 BREWSTER ST,,SAN ANTONIO,TX,782335725,2109675000,Oxygen Equipment & Supplies,,,,,,,,,,,,,,
0.40000,1063415057,SHINGALUZ INC,511 JACKSON KELLER RD,,SAN ANTONIO,TX,782167120,2109490600,Durable Medical Equipment & Medical Supplies,Prosthetic/Orthotic Supplier,,,,,,,,,,,,,
0.40000,1881697878,YOAKUM COMMUNITY HOSPITAL,1200 CARL RAMERT DR,,YOAKUM,TX,779954868,3612932321,Critical Access,,,,,,,,,,,,,,
0.40000,1053314294,VANCE FAMILY LLP,920 BLUEBONNET DR,STE 101,IRVING,TX,750604501,9725549300,Land Transport,,,,,,,,,,,,,,
0.40000,1497758619,CARRIAGE HOUSE MANOR INC,210 PIPELINE RD,,SULPHUR SPRINGS,TX,754822131,9038853589,Nursing Care - Pediatric,,,,,,,,,,,,,,
0.40000,1790788958,HOSPICE OF EAST TEXAS,4111 UNIVERSITY BLVD,,TYLER,TX,757016623,9032663400,Hospice Care - Community Based,,,,,,,,,,,,,,
0.40000,1194728337,MOCKINGBIRD OPTICAL SHOP LLC,5430 FREDERICKSBURG RD,SUITE 100,SAN ANTONIO,TX,782293539,2103401212,Customized Equipment,,,,,,,,,,,,,,
0.40000,1639172877,CONVACARE INC,2400 QUAKER AVE,,LUBBOCK,TX,794101834,8067922831,Skilled Nursing Facility,,,,,,,,,,,,,,
0.40000,1659374858,ELJ INC,1500 CLARKSVILLE ST,,PARIS,TX,754606076,9037398539,Durable Medical Equipment & Medical Supplies,,,,,,,,,,,,,,
0.40000,1396748430,EAST TEXAS MEDICAL CENTER QUITMAN,117 N WINNSBORO ST,,QUITMAN,TX,757832144,9037636300,Critical Access,,,,,,,,,,,,,,
0.40000,1639172778,RENAISSANCE HOSPITALS INC,PO BOX 11527,,HOUSTON,TX,772931527,8328861900,General Acute Care Hospital,,,,,,,,,,,,,,
0.40000,1063415107,YORKTOWN EMERGENCY MEDICAL SERVICE,PO BOX 142,,YORKTOWN,TX,781640142,3615649410,Land Transport,,,,,,,,,,,,,,
0.40000,1851394993,HENDRICK ANESTHESIA NETWORK,PO BOX 975503,,DALLAS,TX,753975503,3256704220,Specialist,,,,,,,,,,,,,,
0.40000,1215930342,SHACKELFORD COUNTY RURAL HEALTH,PO BOX 1567,,ALBANY,TX,764301567,3257623661,Family Medicine,,,,,,,,,,,,,,
0.40000,1821091943,CHEYNE EYE CENTER P.A.,223 S MORGAN ST,,GRANBURY,TX,760481953,8175737153,Eyewear Supplier (Equipment - not the service),,,,,,,,,,,,,,
0.40000,1598768681,STERLING COUNTY NURSING HOME,PO BOX 46,,STERLING CITY,TX,769510046,3253782134,Skilled Nursing Facility,,,,,,,,,,,,,,
0.40000,1396748471,NORTH WHEELER COUNTY HOSPITAL DISTRICT,901 S. SWEETWATER STREET,BOX 1030,WHEELER,TX,790961030,8068265581,Emergency Medicine,Critical Access,,,,,,,,,,,,,
0.40000,1770586836,LIVINGSTON JOB INC,506B N WASHINGTON AVE,,LIVINGSTON,TX,773512840,9363277176,Durable Medical Equipment & Medical Supplies,,,,,,,,,,,,,,
0.40000,1740283811,BEST MED INC,116 S PARK DR,,BROWNWOOD,TX,768015918,3256469414,Pharmacy,Long Term Care Pharmacy,,,,,,,,,,,,,
0.40000,1497758361,ACCURATE MEDICAL EQUIPMENT & SUPPLY CO INC,550 HEMPHILL ST,,FORT WORTH,TX,761042252,8178821111,Durable Medical Equipment & Medical Supplies,Pharmacy,,,,,,,,,,,,,
0.40000,1043213804,INDEPENDENCE REHAB EQUIPMENT INC.,8844 TRADEWAY ST,,SAN ANTONIO,TX,782176115,2108329770,Augmentative Communication,Durable Medical Equipment & Medical Supplies,Customized Equipment,Parenteral & Enteral Nutrition,,,,,,,,,,,
0.40000,1548263346,CANCER HEALTHCARE ASSOCIATES,7979 WURZBACH RD,,SAN ANTONIO,TX,782294427,2104505840,MOHS-Micrographic Surgery,Hematology & Oncology,Medical Oncology,Anatomic Pathology & Clinical Pathology,Surgery,,,,,,,,,,
0.40000,1356344154,ATHENS HELPING HANDS INC,305 S PALESTINE ST,,ATHENS,TX,757512515,3256735101,Nursing Facility/Intermediate Care Facility,,,,,,,,,,,,,,
0.40000,1154324952,LIBERTY COUNTY HOSPITAL DISTRICT NO 1,1353 NORTH TRAVIS STREET,,LIBERTY,TX,775753549,9363367316,Critical Access,,,,,,,,,,,,,,
0.40000,1760485411,STARFIRE EMS INC,PO BOX 4104,,ALVIN,TX,775124104,,Land Transport,,,,,,,,,,,,,,
0.40000,1023011772,OMNICURE HOME HEALTH,3814 TIMBERLAKE DR,,PLANO,TX,750237727,9728814374,Home Health,,,,,,,,,,,,,,
0.40000,1063415974,CITY OF LA PORTE,604 W FAIRMONT PKWY,,LA PORTE,TX,775716215,2814719244,Land Transport,,,,,,,,,,,,,,
0.40000,1730182585,FORT WORTH NORTHSIDE COMMUNITY HEALTH CENTER,2100 N MAIN ST,STE 215,FORT WORTH,TX,761068576,8173780855,Voluntary or Charitable,,,,,,,,,,,,,,
0.40000,1013910991,HOUSTON MEDICAL DIAGNOSTICS,7227 FANNIN ST,STE 102,HOUSTON,TX,770304848,7137976666,Computed Tomography,Magnetic Resonance Imaging,,,,,,,,,,,,,
