1528061553, 2, , <UNAVAIL>, DAYWEST HEALTHCARE SERVICES, , , , , , , HIGHLAND CARE CENTER, 3, , , , , , , , 4285 HIGHLAND DR, , SALT LAKE CITY, UT, 841242603, US, 8012782839, 8012726109, 4285 HIGHLAND DR, , SALT LAKE CITY, UT, 841242603, US, 8012782839, 8012726109, 05/23/2005, 06/17/2008, , , , , MURRAY, JASON, , ADMINISTRATOR, 8012782839, 314000000X, 2004-NCF-49, UT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 870304091006, 05, UT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1366445397, 2, , <UNAVAIL>, OPEN IMAGING LC, , , , , , , OPEN IMAGING REDWOOD, 3, , , , , , , , 6243 S. REDWOOD RD, SUITE 130, TAYLORSVILLE, UT, 84123, US, 8012889671, 8012889583, 6243 S REDWOOD RD, STE 130, TAYLORSVILLE, UT, 841236408, US, 8012889671, 8012889583, 05/23/2005, 03/20/2014, , , , , VAN KIRK, ALBERT, C., PRESIDENT AND CEO, 3306533968, 293D00000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1174526107, 2, , <UNAVAIL>, OPEN IMAGING LAYTON LLC, , , , , , , OPEN IMAGING LAYTON, 3, , , , , , , , 6243 S. REDWOOD RD., SUITE 130, TAYLORSVILLE, UT, 84123, US, 8012889671, 8012889583, 2071 N MAIN ST, STE 100, LAYTON, UT, 840414969, US, 8018254040, 8018254039, 05/23/2005, 03/20/2014, , , , , VAN KIRK, ALBERT, C., PRESIDENT AND CEO, 3306533968, 293D00000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1144223249, 2, , <UNAVAIL>, SPECIALTY NURSING SERVICES INC, , , , , , , , , , , , , , , , 620 S 9500 E, , HUNTSVILLE, UT, 84317, US, 8017322178, 8017322173, 620 S 9500 E, , HUNTSVILLE, UT, 84317, US, 8017322178, 8017322173, 05/23/2005, 01/03/2018, , , , , BUTCHER, TAWSHAWNI, K, OFFICE MANAGER, 8017322168, 251E00000X, 2004-HHA-844, UT, Y, 291U00000X, 46D0925016, UT, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 467110, 01, , MEDICARE OSCAR NUMBER, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1124021050, 2, , <UNAVAIL>, PAPPADAKIS ENTERPRISES, , , , , , , MIDTOWN MANOR, 3, , , , , , , , 125 S 900 W, , SALT LAKE CITY, UT, 841041125, US, 8013636340, 8013598533, 125 S 900 W, , SALT LAKE CITY, UT, 841041125, US, 8013636340, 8013598533, 05/24/2005, 07/09/2007, , , , , PAPPADAKIS, JOHN, N, ADMINISTRATOR, 8013636340, 314000000X, 2004-NCF-368, UT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 990177673001, 05, UT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MR., , OWNER, , , , , , , , , , , , , , , , 
1710980354, 2, , <UNAVAIL>, ROCKY MOUNTAIN RETINA CONSULTANTS, , , , , , , , , , , , , , , , 4400 S 700 E, STE 200, SALT LAKE CITY, UT, 841073000, US, 8012644444, 8012812383, 4400 S 700 E, STE 200, SALT LAKE CITY, UT, 841073000, US, 8012644444, 8012812383, 05/27/2005, 11/14/2007, , , , , GOODART, ROY, ALLEN, PRESIDENT, 8012644444, 207W00000X, 1595111205, UT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , M.D., 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1457354755, 2, , <UNAVAIL>, WESTSIDE COMMUNITY NURSING CENTER, , , , , , , , , , , , , , , , 876 W 700 S, , SALT LAKE CITY, UT, 841041404, US, 8013559649, 8015317003, 876 W 700 S, , SALT LAKE CITY, UT, 841041404, US, 8013559649, 8015317003, 05/31/2005, 04/20/2008, , , , , CHAVIS, SUSAN, , ADMINISTRATOR, 8013559649, 313M00000X, , UT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , =========003, 05, UT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1861495160, 2, , <UNAVAIL>, MEDICAL CENTER PHARMACY INC, , , , , , , MEDICAL CENTER PHARMACY, 3, , , , , , , , 1050 E SOUTH TEMPLE, , SALT LAKE CITY, UT, 841021507, US, 8013508140, 8013504791, 1050 E SOUTH TEMPLE, , SALT LAKE CITY, UT, 841021507, US, 8013508140, 8013504791, 05/31/2005, 07/13/2009, , , , , JENSON, DAVE, , PRESIDENT, 8013508140, 333600000X, , , N, 3336C0003X, 3712351703, UT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4608583, 01, , NCPDP PROVIDER IDENTIFICATION NUMBER, 841379675007, 05, UT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , R PH, , , , , , , , , , , , , , , , 
1689677932, 2, , <UNAVAIL>, DAYWEST HEALTHCARE SERVICES INC., , , , , , , DAYWEST HEALTHCARE SERVICES, 5, , , , , , , , 1492 E RIDGELINE DR, #1, OGDEN, UT, 84405, US, 8016216950, , 3665 BRINKER AVE, , OGDEN, UT, 844032017, US, 8016272273, 8013348240, 05/31/2005, 05/19/2010, , , , , BURCH, BROOKE, CAROLYN, CONTROLLER, 8012686801, 314000000X, 2004-NCF-44, UT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 203460210005, 05, UT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , , , , , , , , , , , , , , , , , 
1811990153, 2, , <UNAVAIL>, DAYWEST REHABILITATION LLC, , , , , , , HIGHLAND CARE OUTPATIENT REHABILITATION, 3, , , , , , , , 4578 HIGHLAND DR, STE 190, SALT LAKE CITY, UT, 841174204, US, 8012725008, 8012725009, 4578 HIGHLAND DR, STE 190, SALT LAKE CITY, UT, 841174204, US, 8012725008, 8012725009, 05/31/2005, 11/08/2007, , , , , RANDALL, TRACI, , CFO, 8016216950, 261QR0400X, 43084, UT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1619979986, 2, , <UNAVAIL>, BEE HIVE SKILLED CARE HOME LLC, , , , , , , , , , , , , , , , 1304 REDWOOD RD, , SARATOGA SPRINGS, UT, 840454734, US, 8012234344, 8012234348, 370 W 500 N, , OREM, UT, 840573880, US, 8012234344, 8012234348, 06/01/2005, 06/10/2008, , , , , WARD, MARK, , CEO, 8013766185, 314000000X, 2007-SHCF-47328, UT, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
