1194728105, 2, , <UNAVAIL>, NAVOS, , , , , , , HIGHLINE WEST SEATTLE MENTAL HEALTH, 4, , , , , , , , PO BOX 46420, , SEATTLE, WA, 981460420, US, 2069337214, 2069337005, 2600 SW HOLDEN ST, , SEATTLE, WA, 981263505, US, 2069337214, 2069337005, 05/23/2005, 09/12/2017, , , , , JOHNSON, DAVID, MARVIN, CEO, 2069337225, 101YM0800X, 048, WA, Y, 251B00000X, , WA, N, 261QR0405X, , WA, N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , ED.D., 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , , 
1689677833, 2, , <UNAVAIL>, COUNTY OF GRANT, , , , , , , GRANT MENTAL HEALTHCARE, 3, , , , , , , , 840 E PLUM ST, , MOSES LAKE, WA, 988371874, US, 5097659239, 5097654124, 840 E PLUM ST, , MOSES LAKE, WA, 988371874, US, 5097659239, 5097654124, 05/23/2005, 12/30/2014, , , , , ALLISON, LEROY, , EXECUTIVE DIRECTOR, 5097659239, 101YM0800X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , , 
1376546515, 2, , <UNAVAIL>, HOSPICE OF KITSAP COUNTY, , , , , , , , , , , , , , , , PO BOX 3416, , SILVERDALE, WA, 983833416, US, 3606984611, 3606921893, 3100 NW BUCKLIN HILL RD, , SILVERDALE, WA, 983838358, US, 3606984611, 3606921893, 05/23/2005, 08/07/2007, , , , , PLEDGER, JIM, , DIRECTOR OF HOSPICE, 3606984611, 251G00000X, IS-335, WA, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3990066, 05, WA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1063415198, 2, , <UNAVAIL>, PROVIDENCE HEALTH & SERVICES - WASHINGTON, , , , , , , PROVIDENCE SOUNDHOMECARE AND HOSPICE, 3, , , , , , , , PO BOX 24666, , SEATTLE, WA, 981240666, US, 5038937120, 4252763215, 4200 6TH AVE SE, SUITE 201, LACEY, WA, 985031042, US, 3604598311, 3604934657, 05/23/2005, 05/01/2017, , , , , ANDERSON, DONALD, , ASST CORP SEC FOR ENROLLMENTS, 4255255392, 251E00000X, IS-420, WA, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 9040460, 05, WA, , 9040486, 05, WA, , 9040478, 05, WA, , 9040452, 05, WA, , 9048661, 05, WA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., JR., , , , , , , , , , , , , , , , , 
1154324929, 2, , <UNAVAIL>, OKANOGAN BEHAVIORAL HEALTHCARE, , , , , , , , , , , , , , , , PO BOX 3208, , OMAK, WA, 988413208, US, 5098266191, , 107 W. APPLE, , OMAK, WA, 988413028, US, 5098266191, , 05/24/2005, 07/08/2007, , , , , BAUER, ROGER, , CEO, 5098266191, 101YM0800X, , WA, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MR., , , 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , , 
1881697654, 2, , <UNAVAIL>, NORTH COUNTRY EMERGENCY MEDICAL SERVICES, , , , , , , , , , , , , , , , PO BOX 189, , YACOLT, WA, 986750299, US, 3606863271, 3606868127, 300 W HOAG ST, , YACOLT, WA, 986755604, US, 3606863271, , 05/24/2005, 01/09/2018, , , , , PITTS, KIM, , ADMINISTRATIVE ASSISTANT, 3606863271, 3416L0300X, 601009935, WA, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 166025, 01, OR, OMAP, 911357973, 01, OR, REGENCE BC/BS, 27228, 01, WA, DEPT OF LABOR & INDUSTRIE, 9063603, 05, WA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MS., , , , , , , , , , , , , , , , , , 
1437152238, 2, , <UNAVAIL>, SUMMIT TRADING CO INC, , , , , , , SUMMIT TRADING PHARMACY, 3, , , , , , , , 10409 CANYON RD E, , PUYALLUP, WA, 983734252, US, 2538402098, 2538400308, 10409 CANYON RD E, , PUYALLUP, WA, 983734252, US, 2538402098, 2538400308, 05/24/2005, 10/04/2011, , , , , CRUTCHER, JENNIFER, , PIC, 2538402098, 333600000X, , , N, 3336C0003X, CF00005161, WA, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4924266, 01, , NCPDP PROVIDER IDENTIFICATION NUMBER, 6015192, 05, WA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , RPH, , , , , , , , , , , , , , , , 
1295738185, 2, , <UNAVAIL>, LUZCEL G TUAZON MD PS, , , , , , , , , , , , , , , , 7221 W DESCHUTES AVE, STE C, KENNEWICK, WA, 993367807, US, 5093743105, 5093743108, 7221 W DESCHUTES AVE, STE C, KENNEWICK, WA, 993367807, US, 5093743105, 5093743108, 05/24/2005, 10/18/2007, , , , , TUAZON, LUZCEL, G, MD OWNER, 5093743105, 207R00000X, MD00040438, WA, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1116631, 05, WA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , M.D., 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1942203781, 2, , <UNAVAIL>, WALLA WALLA HOMEMEDICAL INC, , , , , , , , , , , , , , , , 329 S 2ND AVE, , WALLA WALLA, WA, 993623034, US, 5095251066, 5095222361, 329 S 2ND AVE, , WALLA WALLA, WA, 993623034, US, 5095251066, 5095222361, 05/24/2005, 12/21/2012, , , , , BUCKLEY, JAY, , GENERAL MANAGER, 5095251066, 332B00000X, 601013167, WA, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 161646, 05, OR, , 9001710, 05, WA, , 9012832, 05, WA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1861495640, 2, , <UNAVAIL>, ANKLE AND FOOT CLINIC OF LOWER COLUMBIA PLLC, , , , , , , ANKLE & FOOT CLINIC, 3, , , , , , , , 1114 BROADWAY ST, , LONGVIEW, WA, 986323842, US, 3605773682, 3605771871, 1114 BROADWAY ST, , LONGVIEW, WA, 986323842, US, 3605773682, 3605771871, 05/24/2005, 01/08/2008, , , , , SCHATZ, STEVEN, GREGORY, MEMBER, 3605773682, 213ES0103X, PO00000488, WA, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , DPM, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1629071394, 2, , <UNAVAIL>, ADVANCED PHYSICAL THERAPY & BALANCE REHABILITATION LLC, , , , , , , , , , , , , , , , 1901 S UNION AVE, STE B7011, TACOMA, WA, 984051807, US, 2536277012, 2536277014, 1901 S UNION AVE, STE B7011, TACOMA, WA, 984051807, US, 2536277012, 2536277014, 05/24/2005, 07/09/2007, , , , , KUBIK, MICHAEL, J, PHYSICAL THERAPIST/OWNER, 2536277012, 261QP2000X, , WA, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 7123797, 05, WA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , P.T., , , , , , , , , , , , , , , , 
