1699778829, 2, , <UNAVAIL>, CHIPPEWA VALLEY ORTHOPEDICS AND SPORTS MEDICINE CLINIC SC, , , , , , , , , , , , , , , , 1200 OAKLEAF WAY, SUITE A, ALTOONA, WI, 547202245, US, 7158321400, 7158324187, 1200 OAKLEAF WAY, SUITE A, ALTOONA, WI, 547202245, US, 7158321400, 7158324187, 05/23/2005, 10/27/2014, , , , , DRAWBERT, JOHN, PAUL, PRESIDENT, 7158321400, 207T00000X, , , N, 207X00000X, , , Y, 208VP0014X, 54216, WI, N, 213ES0103X, , , N, 261QM1200X, , , N, 332B00000X, , WI, N, 363A00000X, , , N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2416091, 01, WI, UNITED HEALTHCARE, =========015, 01, WI, BLUE CROSS BLUE SHIELD, 41741700, 05, WI, , 542R9CH, 01, WI, BCBS OF MN, 220399400, 01, WI, OWCP, 21278700, 05, WI, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , M.D., 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, , , 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , 
1841293768, 2, , <UNAVAIL>, COUNTY OF LINCOLN, , , , , , , LINCOLN COUNTY EMS, 3, , , , , , , , 801 N SALES ST, SUITE 201, MERRILL, WI, 544521633, US, 7155361019, 7155398054, 801 N SALES ST, SUITE 201, MERRILL, WI, 544521633, US, 7155391019, 7155398054, 05/24/2005, 11/11/2008, , , , , RAUCHLE, DEBORAH, A, ADMINISTRATIVE SECRETARY, 7155391019, 3416L0300X, 6020121, WI, N, 3416L0300X, 6000121, WI, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 41329500, 05, WI, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , , , , , , , , , , , , , , , , , 
1588667406, 2, , <UNAVAIL>, COUNTY OF DUNN, , , , , , , DUNN COUNTY DEPARTMENT OF HUMAN SERVICES & ADRC, 3, , , , , , , , 3001 US HIGHWAY 12 EAST, SUITE 160, MENOMONIE, WI, 547513045, US, 7152321116, 7152325987, 3001 US HIGHWAY 12 EAST, SUITE 160, MENOMONIE, WI, 547513045, US, 7152321116, 7152325987, 05/24/2005, 07/17/2015, , , , , KORPELA, KRISTIN, M, DIRECTOR, 7152312750, 101YM0800X, 1287, WI, N, 101YP2500X, 1287, WI, N, 103TB0200X, 1287, WI, N, 106H00000X, 1287, WI, N, 163WP0808X, 1287, WI, N, 2084P0800X, 1287, WI, N, 261QM0801X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 67551DU, 01, WI, COMPREHENSIVE CARE SERV, 42141400, 05, WI, , 60011400, 05, WI, , =========013, 01, WI, BC & BS OF WI PROVIDER ID, 260050222, 01, WI, RAILROAD MEDICARE, 9009DU, 01, MN, BC & BS OF MN PROVIDER ID, 94112, 01, WI, PREFERREDONE FACILITY ID, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Y, COUNTY OF DUNN, <UNAVAIL>, MS., , , 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , 
1669475331, 2, , <UNAVAIL>, CITY OF NEW BERLIN, , , , , , , CITY OF NEW BERLIN FIRE DEPARTMENT, 4, , , , , , , , 6400 INDUSTRIAL LOOP, , GREENDALE, WI, 531292452, US, 2625675171, 4144234134, 16300 W NATIONAL AVE, , NEW BERLIN, WI, 531515510, US, 2627856120, 2627856130, 05/24/2005, 04/20/2008, , , , , WAHL, ANDREW, WAYNE, ASST CHIEF- EMS DIVISION, 2627856120, 146N00000X, 60-00110, WI, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , =========010, 01, WI, BLUE CROSS/ BLUE SHIELD, =========001, 05, WI, , 41358200, 05, WI, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1891798864, 2, , <UNAVAIL>, CITY OF RIPON, , , , , , , RIPON GUARDIAN AMBULANCE SERVICE, 3, , , , , , , , 100 JACKSON ST, , RIPON, WI, 549711312, US, 9207484926, 9207486983, 100 JACKSON ST, , RIPON, WI, 549711312, US, 9207484926, 9207486983, 05/24/2005, 06/19/2008, , , , , TEACHOUT, JOHN, , EMS CREW CHIEF, 9207484904, 341600000X, 6001189, WI, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 41306700, 05, WI, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1437152204, 2, , <UNAVAIL>, WINNEBAGO COUNTY, , , , , , , , , , , , , , , , 725 BUTLER AVE, , OSHKOSH, WI, 549018149, US, 9202376300, 9202376940, 725 BUTLER AVE, , OSHKOSH, WI, 549018149, US, 9202376300, 9202376940, 05/24/2005, 01/22/2015, , , , , HINKLEY, MORGAN, , ADMINISTRATOR, 9202376900, 314000000X, 2436, WI, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 20132800, 05, WI, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , NHA, , , , , , , , , , , , , , , , 
1245233212, 2, , <UNAVAIL>, COUNTY OF DANE, , , , , , , BADGER PRAIRIE HEALTH CARE CENTER, 3, , , , , , , , 1100 E VERONA AVE, , VERONA, WI, 535938717, US, 6088456601, 6088451264, 1100 E VERONA AVE, , VERONA, WI, 535938717, US, 6088456601, 6088451264, 05/24/2005, 07/09/2007, , , , , NELSON, JACK, D, ADMINISTRATOR, 6088451243, 314000000X, 2969, WI, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 20161700, 05, WI, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MR., , , , , , , , , , , , , , , , , , 
1952304727, 2, , <UNAVAIL>, SURGICAL SPECIALIST OF GREEN BAY INC., , , , , , , , , , , , , , , , 720 S. VANBUREN ST, SUITE 202, GREEN BAY, WI, 54301, US, 9204387155, 9204387193, 720 S. VANBUREN ST, SUITE 202, GREEN BAY, WI, 54301, US, 9204387155, 9204387193, 05/24/2005, 01/21/2009, , , , , GEONARIS, THOMAS, V, MD, 9204387155, 174400000X, =========, WI, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , MD, 193200000X MULTI-SPECIALTY GROUP, , , , , , , , , , , , , , , 
1588667349, 2, , <UNAVAIL>, BELOIT HEALTH SYSTEM INC, , , , , , , BELOIT REGIONAL HOSPICE, 3, , , , , , , , 1969 WEST HART ROAD, , BELOIT, WI, 53511, US, 6083645281, 6083645586, 655 THIRD STREET, SUITE 200, BELOIT, WI, 53511, US, 6083637421, 6083637426, 05/24/2005, 11/01/2016, , , , , GROEPER, WILLIAM, E, VP FINANCE SERVICES, 6083645281, 251G00000X, 521525, WI, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 43182000, 05, WI, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , , , , , , , , , , , , , , , , , 
1841293800, 2, , <UNAVAIL>, BAY AREA NEPHROLOGY S.C., , , , , , , , , , , , , , , , 2020 RIVERSIDE DR, SUITE 200, GREEN BAY, WI, 543012300, US, 9204339920, 9204339927, 2020 RIVERSIDE DR, SUITE 200, GREEN BAY, WI, 543012300, US, 9204339920, 9204339927, 05/24/2005, 10/25/2007, , , , , LAWTON, JOHN, M, PHYSICIAN, 9204339920, 207RN0300X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 32852900, 05, WI, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , MD, 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1568465490, 2, , <UNAVAIL>, COUNTY OF RICHLAND, , , , , , , RICHLAND COUNTY AMBULANCE, 3, , , , , , , , 181 W SEMINARY ST, , RICHLAND CENTER, WI, 535812368, US, 6086476474, 6086477151, 181 W SEMINARY ST, , RICHLAND CENTER, WI, 535812368, US, 6086476474, 6086477151, 05/24/2005, 08/16/2012, , , , , RICE, JEANNE, PATRICE, SECRETARY, 6086476474, 341600000X, 00724, WI, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 41342400, 05, WI, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Y, COUNTY OF RICHLAND, <UNAVAIL>, MRS., , , , , , , , , , , , , , , , , , 
1649273350, 2, , <UNAVAIL>, MANAWA COMMUNITY NURSING CENTER INC., , , , , , , , , , , , , , , , 400 E 4TH ST, , MANAWA, WI, 549499227, US, 9205962566, 9205962588, 400 E 4TH ST, , MANAWA, WI, 54949, US, 9205962566, 9205962588, 05/27/2005, 12/14/2009, , , , , MATICEK, RUSSELL, JOSEPH, OWNER, 9205962566, 314000000X, 2616, WI, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 20105000, 05, WI, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., SR., , , , , , , , , , , , , , , , , 
1598768137, 2, , <UNAVAIL>, MD GROUP LLC, , , , , , , EVANSVILLE HOMETOWN PHARMACY, 3, , , , , , , , 333 LOWVILLE RD, , RIO, WI, 539609437, US, 9209926800, 9209926801, 21 W MAIN ST, , EVANSVILLE, WI, 535361143, US, 6088824550, 6088820149, 05/27/2005, 05/21/2012, , , , , MABIE, MATTHEW, , CEO, 9209926800, 332B00000X, , , N, 333600000X, , , N, 3336C0003X, 8433042, WI, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1598768137, 05, WI, , 5117874, 01, , NCPDP PROVIDER IDENTIFICATION NUMBER, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , R PH, , , , , , , , , , , , , , , , 
