1699778704, 2, , <UNAVAIL>, WEBSTER COUNTY MEMORIAL HOSPITAL, , , , , , , , , , , , , , , , PO BOX 312, 324 MILLER MOUNTAIN DRIVE, WEBSTER SPRINGS, WV, 26288, US, 3048475682, 3048475985, 324 MILLER MOUNTAIN DR, , WEBSTER SPRINGS, WV, 262881026, US, 3048475682, 3048475985, 05/23/2005, 07/20/2015, , , , , RIFFLE, TINA, LOUISE, CREDENTIALING, 3048475682, 282NC0060X, 1449, WV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1053679282, 01, WV, NPI, 1255661955, 01, WV, NPI, 1437453719, 01, WV, NPI, 1730415332, 01, WV, NPI, 1639264582, 01, WV, NPI, 1720243769, 01, WV, NPI, 1992078380, 01, WV, NPI, 1174788111, 01, WV, NPI, 1013203058, 01, WV, NPI, 1760776272, 01, WV, NPI, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , RN, , , , , , , , , , , , , , , , 
1194728097, 2, , <UNAVAIL>, MARMET HEALTH CARE CENTER, , , , , , , , , , , , , , , , 1 SUTPHIN DR, , MARMET, WV, 253151977, US, 3049491580, 3049494880, 1 SUTPHIN DR, , MARMET, WV, 253151977, US, 3049491580, 3049494880, 05/24/2005, 07/09/2007, , , , , SUTPHIN, ROBIN, M, ADMINISTRATOR, 3049491580, 314000000X, 121, WV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0003685000, 05, WV, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MRS., , NHA, , , , , , , , , , , , , , , , 
1720081615, 2, , <UNAVAIL>, FAYETTE COMMUNITY HEALTH CARE, , , , , , , HIDDEN VALLEY HEALTH CARE CENTER, 3, , , , , , , , 422 23RD ST, , OAK HILL, WV, 259012830, US, 3044651903, 3049493807, 422 23RD ST, , OAK HILL, WV, 259012830, US, 3044651903, 3049493807, 05/24/2005, 07/09/2007, , , , , SUTPHIN, CALVIN, L, ADMINISTRATOR, 3044651903, 314000000X, 129, WV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0003674000, 05, WV, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MR., II, NHA, , , , , , , , , , , , , , , , 
1992708770, 2, , <UNAVAIL>, GREENBRIER MEDICAL ARTS PHARMACY INC, , , , , , , GREENBRIER MEDICAL ARTS PHARMACY, 3, , , , , , , , 3558 JEFFERSON ST N STE 1, , LEWISBURG, WV, 249015730, US, 3046455547, 3046455549, 1322 MAPLEWOOD AVE, , RONCEVERTE, WV, 249708016, US, 3046475121, 3046475122, 05/24/2005, 03/01/2017, , , , , HAGER, ERIN, , CORPORATE OFFICE MANAGER, 3046455547, 332B00000X, , , N, 333600000X, , , N, 3336C0003X, SP0550581, WV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0141908000, 05, WV, , 2110013, 01, , PK, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , , , , , , , , , , , , , , , , , , , 
1083617989, 2, , <UNAVAIL>, STONEWALL JACKSON MEMORIAL HOSPITAL, , , , , , , STONEWALL JACKSON HOME CARE, 3, , , , , , , , 456 SUITE B MARKET PLACE MALL, , WESTON, WV, 264526938, US, 3042694556, 3042694559, 456 SUITE B MARKET PLACE MALL, , WESTON, WV, 264526938, US, 3042694556, 3042694559, 05/24/2005, 11/13/2014, , , , , EISENBEIS, M., JANE, DIRECTOR OF EXTERNAL OPERATIONS, 3042694556, 251E00000X, =========, WV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , =========, 01, WV, BLUE CROSS/BLUE SHIELD, 0001417001, 05, WV, , =========, 01, WV, 3RD PARTY INSURANCES, =========002, 01, WV, CHAMPUS/PALMETTO, WV22958A, 01, WV, HEALTH PLAN, 300699, 01, WV, FEDERAL BLACK LUNG, =========018, 01, WV, ACORDIA NAT'L,  HLTH ASSUR, =========06, 01, WV, WORKERS COMPENSATION, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , RN, , , , , , , , , , , , , , , , 
1083617799, 2, , <UNAVAIL>, FOLLANSBEE PHARMACY INC, , , , , , , TRISTATE PHARMACY, 3, , , , , , , , 651 COLLIERS WAY, SUITE 204, WEIRTON, WV, 260625053, US, 3047236331, 3047231131, 651 COLLIERS WAY, SUITE 204, WEIRTON, WV, 260625053, US, 3047236331, 3047231131, 05/27/2005, 03/25/2009, , , , , BERNABEI, JOHN, JOSEPH, OWNER, 3047236331, 333600000X, SP0552308, WV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6001347000, 05, WV, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , RPH, , , , , , , , , , , , , , , , 
1861495335, 2, , <UNAVAIL>, CITY OF SISTERSVILLE, , , , , , , SISTERSVILLE GENERAL HOSPITAL, 3, , , , , , , , 314 S WELLS ST, , SISTERSVILLE, WV, 261751098, US, 3046522611, 3046521448, 314 SOUTH WELLS STREET, , SISTERSVILLE, WV, 261751098, US, 3046522611, 3046521448, 05/27/2005, 06/19/2013, , , , , WEST, SHELLY, , CNO, 3044472500, 282NC0060X, 117, WV, Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MS., , , , , , , , , , , , , , , , , , 
1093718538, 2, , <UNAVAIL>, REHABILITATION PRACTITIONERS INC, , , , , , , , , , , , , , , , 333 W CORK ST, UNIT 30, WINCHESTER, VA, 226013816, US, 5407229025, 5406679915, 1008 TAVERN RD, STE 302, MARTINSBURG, WV, 254012801, US, 3042678050, 3042678051, 05/30/2005, 03/24/2008, , , , , CESTARO, MICHAEL, E, PRESIDENT, 5407229025, 335E00000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0147101000, 05, WV, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MR., , C.P.O., , , , , , , , , , , , , , , , 
1104828243, 2, , <UNAVAIL>, BLUEFIELD PATHOLOGY ASSOCIATES INC, , , , , , , , , , , , , , , , PO BOX 409, , BLUEFIELD, WV, 247010409, US, , , 500 CHERRY ST, , BLUEFIELD, WV, 247013306, US, 3043271586, , 06/01/2005, 07/29/2010, , , , , POOLOS, STEPHEN, P., MD, 3043271586, 207ZP0102X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , CL0652, 01, WV, RAILROAD, 0011531000, 05, WV, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , DR., , , 193400000X SINGLE SPECIALTY  GROUP, , , , , , , , , , , , , , , 
1114929304, 2, , <UNAVAIL>, AFFILIATED PHYSICAL THERAPY SERVICES INC, , , , , , , , , , , , , , , , 2A CHERRY TREE DR, , NUTTER FORT, WV, 263014475, US, 3046225822, 3046229707, 2A CHERRY TREE DR, , NUTTER FORT, WV, 263014475, US, 3046225822, 3046229707, 06/01/2005, 04/22/2010, , , , , LUNSFORD, BARBARA, L, OFFICE MANAGER, 3046225822, 261QP2000X, , , Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4000447-000, 05, WV, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , N, , , MRS., , , , , , , , , , , , , , , , , , 
1184628117, 2, , <UNAVAIL>, FAMILY DISCOUNT PHARMACY INC, , , , , , , , , , , , , , , , PO BOX 1247, , MOUNT GAY, WV, 256371247, US, 3047521445, 3047521468, OLD RT 119, , MOUNT GAY, WV, 256371247, US, 3047521445, 3047521468, 06/08/2005, 07/08/2007, , , , , CLAYCOMB, EARL, , RPH, 3047521445, 332B00000X, , , X, 333600000X, RP0004769, PA, X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0138875000, 05, WV, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , MR., , RPH, , , , , , , , , , , , , , , , 
